"","Date_reported","Country","New_cases"
"54868","28/06/2020","Netherlands","69"
"54869","29/06/2020","Netherlands","73"
"54870","30/06/2020","Netherlands","76"
"54871","01/07/2020","Netherlands","50"
"54872","02/07/2020","Netherlands","62"
"54873","03/07/2020","Netherlands","77"
"54874","04/07/2020","Netherlands","75"
"54875","05/07/2020","Netherlands","61"
"54876","06/07/2020","Netherlands","73"
"54877","07/07/2020","Netherlands","36"
"54878","08/07/2020","Netherlands","37"
"54879","09/07/2020","Netherlands","52"
"54880","10/07/2020","Netherlands","52"
"54881","11/07/2020","Netherlands","42"
"54882","12/07/2020","Netherlands","81"
"54883","13/07/2020","Netherlands","101"
"54884","14/07/2020","Netherlands","71"
"54885","15/07/2020","Netherlands","53"
"54886","16/07/2020","Netherlands","106"
"54887","17/07/2020","Netherlands","99"
"54888","18/07/2020","Netherlands","103"
"54889","19/07/2020","Netherlands","127"
"54890","20/07/2020","Netherlands","144"
"54891","21/07/2020","Netherlands","185"
"54892","22/07/2020","Netherlands","163"
"54893","23/07/2020","Netherlands","168"
"54894","24/07/2020","Netherlands","163"
"54895","25/07/2020","Netherlands","191"
"54896","26/07/2020","Netherlands","137"
"54897","27/07/2020","Netherlands","214"
"54898","28/07/2020","Netherlands","205"
"54899","29/07/2020","Netherlands","223"
"54900","30/07/2020","Netherlands","247"
"54901","31/07/2020","Netherlands","342"
"54902","01/08/2020","Netherlands","338"
"54903","02/08/2020","Netherlands","431"
"54904","03/08/2020","Netherlands","311"
"54905","04/08/2020","Netherlands","372"
"54906","05/08/2020","Netherlands","540"
"54907","06/08/2020","Netherlands","426"
"54908","07/08/2020","Netherlands","601"
"54909","08/08/2020","Netherlands","519"
"54910","09/08/2020","Netherlands","486"
"54911","10/08/2020","Netherlands","577"
"54912","11/08/2020","Netherlands","575"
"54913","12/08/2020","Netherlands","779"
"54914","13/08/2020","Netherlands","654"
"54915","14/08/2020","Netherlands","577"
"54916","15/08/2020","Netherlands","636"
"54917","16/08/2020","Netherlands","652"
"54918","17/08/2020","Netherlands","506"
"54919","18/08/2020","Netherlands","481"
"54920","19/08/2020","Netherlands","487"
"54921","20/08/2020","Netherlands","552"
"54922","21/08/2020","Netherlands","529"
"54923","22/08/2020","Netherlands","534"
"54924","23/08/2020","Netherlands","508"
"54925","24/08/2020","Netherlands","456"
"54926","25/08/2020","Netherlands","572"
"54927","26/08/2020","Netherlands","414"
"54928","27/08/2020","Netherlands","570"
"54929","28/08/2020","Netherlands","510"
"54930","29/08/2020","Netherlands","507"
"54931","30/08/2020","Netherlands","500"
"54932","31/08/2020","Netherlands","508"
"54933","01/09/2020","Netherlands","525"
"54934","02/09/2020","Netherlands","461"
"54935","03/09/2020","Netherlands","914"
"54936","04/09/2020","Netherlands","421"
"54937","05/09/2020","Netherlands","744"
"54938","06/09/2020","Netherlands","654"
"54939","07/09/2020","Netherlands","925"
"54940","08/09/2020","Netherlands","797"
"54941","09/09/2020","Netherlands","963"
"54942","10/09/2020","Netherlands","1140"
"54943","11/09/2020","Netherlands","823"
"54944","12/09/2020","Netherlands","1268"
"54945","13/09/2020","Netherlands","1231"
"54946","14/09/2020","Netherlands","1086"
"54947","15/09/2020","Netherlands","1298"
"54948","16/09/2020","Netherlands","1376"
"54949","17/09/2020","Netherlands","1540"
"54950","18/09/2020","Netherlands","1750"
"54951","19/09/2020","Netherlands","1972"
"54952","20/09/2020","Netherlands","1882"
"54953","21/09/2020","Netherlands","1843"
"54954","22/09/2020","Netherlands","2215"
"54955","23/09/2020","Netherlands","2243"
"54956","24/09/2020","Netherlands","2351"
"54957","25/09/2020","Netherlands","2541"
"54958","26/09/2020","Netherlands","2776"
"54959","27/09/2020","Netherlands","2711"
"54960","28/09/2020","Netherlands","2989"
"54961","29/09/2020","Netherlands","2909"
"54962","30/09/2020","Netherlands","3001"
"54963","01/10/2020","Netherlands","3293"
"54964","02/10/2020","Netherlands","3253"
"54965","03/10/2020","Netherlands","3820"
"54966","04/10/2020","Netherlands","3963"
